f1	f2
94.220	94.694
94.226	94.588
94.298	94.416
94.378	94.500
94.500	94.614
94.484	94.622
94.474	94.598
94.498	94.628
94.486	94.610
94.494	94.620
94.492	94.626
94.470	94.596
94.458	94.584
94.462	94.592
94.444	94.564
94.354	94.490
94.374	94.508
94.368	94.498
94.392	94.518
94.388	94.508
94.398	94.520
94.392	94.510
94.398	94.528
94.422	94.540
94.416	94.540
94.406	94.538
94.398	94.522
94.396	94.518
94.354	94.478
94.370	94.496
94.370	94.502
94.378	94.500
94.392	94.508
94.362	94.488
94.380	94.504
94.380	94.508
94.380	94.506
94.390	94.508
94.394	94.518
94.388	94.510
94.394	94.518
94.392	94.518
94.382	94.508
94.386	94.510
94.390	94.516
94.390	94.516
94.390	94.508
94.382	94.508
94.370	94.496
94.372	94.496
94.374	94.492
94.372	94.496
94.374	94.500
94.370	94.500
94.374	94.492
94.370	94.494
94.374	94.496
94.378	94.496
94.380	94.500
94.374	94.498
94.366	94.492
94.360	94.488
94.356	94.480
94.348	94.472
94.342	94.468
94.322	94.450
94.320	94.440
94.308	94.430
94.290	94.424
94.308	94.426
94.310	94.426
94.302	94.418
94.318	94.436
94.330	94.452
94.324	94.452
94.322	94.452
94.324	94.446
94.308	94.440
94.308	94.424
94.302	94.418
94.304	94.422
94.318	94.434
94.320	94.432
94.320	94.436
94.320	94.442
94.316	94.442
94.304	94.426
94.300	94.422
94.296	94.416
94.296	94.418
94.304	94.420
94.294	94.416
94.304	94.420
94.302	94.420
94.310	94.424
94.314	94.432
94.306	94.432
94.310	94.436
94.310	94.430
94.310	94.428
94.308	94.428
94.308	94.428
94.312	94.430
94.314	94.436
94.316	94.434
94.314	94.434
94.314	94.434
94.318	94.436
94.320	94.440
94.322	94.440
94.312	94.440
94.310	94.440
94.310	94.432
94.312	94.430
94.314	94.430
94.306	94.432
94.306	94.426
94.300	94.420
94.302	94.420
94.304	94.420
94.302	94.420
94.308	94.420
94.306	94.430
94.306	94.430
94.308	94.434
94.310	94.434
94.312	94.430
94.310	94.430
94.312	94.430
94.312	94.430
94.304	94.430
94.302	94.422
94.300	94.422
94.300	94.420
94.302	94.420
94.310	94.426
94.318	94.426
94.316	94.440
94.304	94.426
94.306	94.426
94.308	94.426
94.300	94.422
